,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
53,19755,Shohei Ohtani,LAA,27,0.253,0.345,0.494,0.738,660271,108,James Kaprielian,1,Angel Stadium,4,621076,4.38,7.97,6.28,1.32,.235,0.25,1.0,0.25,0.0,0.0,False
54,13066,Teoscar Hernandez,TOR,29,0.271,0.322,0.489,0.672,606192,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.333,0.25,0.333,0.0,0.0,True
55,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Brady Singer,1,Guaranteed Rate Field,23,663903,3.49,8.36,9.18,1.15,.248,0.4,0.4,0.25,0.5,0.333,True
56,17273,Jorge Mateo,BAL,27,0.23,0.277,0.404,0.698,622761,110,Martin Perez,0,Globe Life Field,14,527048,2.85,7.94,7.81,1.18,.235,0.5,0.5,0.0,0.25,0.0,False
57,12546,C.J. Cron,COL,32,0.277,0.33,0.513,0.775,543068,115,Blake Snell,0,Petco Park,31,605483,3.96,7.56,11.77,1.33,.226,0.0,0.4,0.5,0.0,0.0,True
58,14344,Matt Olson,ATL,28,0.248,0.337,0.483,0.741,621566,144,Zack Wheeler,1,Truist Park,12,554430,2.63,7.25,9.73,1.03,.218,0.0,0.25,0.5,0.0,0.333,False
59,16478,Kyle Schwarber,PHI,29,0.211,0.314,0.501,0.72,656941,143,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,.230,0.0,0.2,0.25,0.2,0.4,False
60,5827,Wilmer Flores,SFG,30,0.252,0.337,0.44,0.8270000000000001,527038,137,Julio Urias,1,Oracle Park,9,628711,2.49,6.97,8.58,0.97,.210,0.333,0.5,0.25,0.6,0.0,True
61,10231,Jose Iglesias,COL,32,0.318,0.356,0.418,0.868,578428,115,Blake Snell,0,Petco Park,31,605483,3.96,7.56,11.77,1.33,.226,0.667,0.6,0.25,0.333,0.5,False
62,13152,Jorge Polanco,MIN,28,0.234,0.346,0.409,0.7759999999999999,593871,142,Tyler Alexander,1,Target Field,26,641302,3.83,8.94,4.74,1.20,.262,0.333,0.4,0.0,0.0,0.0,True
