,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
62,62,71,19997,Santiago Espinal,TOR,27,0.263,0.313,0.378,0.8490000000000001,669289,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.0,0.0,0.25,0.0,0.0,True
63,63,72,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.0,0.25,0.8,0.25,0.25,True
64,64,73,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.25,0.0,0.0,0.0,False
65,65,74,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Andrew Wantz,0,Angel Stadium,4,681806,2.87,7.76,8.33,1.18,0.233,0.0,0.0,0.0,0.5,0.0,False
66,66,75,19326,Bryan Reynolds,PIT,27,0.257,0.343,0.449,0.752,668804,134,Shane McClanahan,0,Tropicana Field,21,663556,2.24,5.89,11.29,0.83,0.184,0.25,0.0,0.25,0.667,0.333,True
67,67,76,18171,Seth Brown,OAK,29,0.238,0.295,0.463,0.732,664913,133,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,0.248,0.4,0.5,0.25,0.25,0.75,True
68,68,77,5038,Josh Donaldson,NYY,36,0.228,0.31,0.401,0.705,518626,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.25,0.2,0.0,0.5,False
69,69,78,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,0.248,0.2,0.333,0.0,0.0,0.0,False
70,70,79,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.4,0.25,0.25,1.0,0.0,False
71,71,80,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.5,0.0,0.6,0.0,0.5,False
72,72,81,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.5,0.5,0.0,0.25,0.5,True
73,73,82,15998,Cody Bellinger,LAD,26,0.212,0.269,0.405,0.759,641355,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.5,0.0,0.75,0.0,0.0,True
74,74,83,5297,Aaron Hicks,NYY,32,0.222,0.348,0.314,0.763,543305,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.0,0.333,0.0,0.5,False
75,75,84,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,David Peterson,1,loanDepot park,20,656849,3.3,7.18,10.37,1.28,0.22,0.25,0.333,0.25,0.5,0.2,False
76,76,85,14854,Mike Yastrzemski,SFG,31,0.22,0.315,0.393,0.797,573262,137,Tyler Mahle,1,Oracle Park,9,641816,6.0,7.5,7.5,1.0,0.238,0.0,0.25,0.0,0.25,0.25,True
77,77,87,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,James Kaprielian,1,Kauffman Stadium,5,621076,4.38,7.97,6.28,1.32,0.235,0.0,0.5,0.0,0.333,0.25,True
78,78,88,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Rich Hill,1,Progressive Field,7,448179,4.75,9.39,6.84,1.35,0.266,0.0,0.333,0.0,0.5,0.0,True
79,79,89,19238,Lourdes Gurriel Jr.,TOR,28,0.309,0.361,0.421,0.797,666971,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.667,0.5,0.5,0.5,0.25,False
80,80,90,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Jack Flaherty,0,Busch Stadium,15,656427,5.62,9.0,6.75,2.13,0.25,0.333,0.25,0.4,0.5,0.667,True
81,81,91,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.25,0.0,0.75,0.25,0.5,False
82,82,93,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Aaron Civale,0,Progressive Field,7,650644,6.17,10.67,8.67,1.46,0.295,0.25,0.25,0.0,0.0,0.25,True
