,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
71,71,71,85,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Miles Mikolas,0,Busch Stadium,15,571945,3.5,8.09,6.88,1.09,0.239,0.143,0.0,0.0,0.4,0.667,0.0,False
72,72,72,86,22799,Geraldo Perdomo,ARI,22,0.205,0.298,0.286,0.812,672695,109,Tyler Anderson,1,Chase Field,13,542881,2.72,7.21,7.14,1.0,0.219,0.0,0.333,0.0,0.25,0.333,0.25,True
73,73,73,87,10243,Randal Grichuk,COL,30,0.27,0.312,0.435,0.768,545341,115,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.0,0.5,0.0,0.5,0.333,0.0,True
74,74,74,89,15117,Hunter Dozier,KCR,30,0.245,0.309,0.411,0.733,641531,118,Sonny Gray,0,Target Field,26,543243,3.19,7.29,8.43,1.11,0.219,0.5,0.6,0.25,0.25,0.0,0.25,True
75,75,75,90,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Max Fried,0,Truist Park,12,608331,2.6,8.07,8.26,1.08,0.237,0.286,0.0,0.25,0.0,0.25,0.5,False
76,76,76,91,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Kyle Freeland,1,Nationals Park,29,607536,4.56,9.5,6.66,1.36,0.272,0.5,0.25,0.4,0.5,0.25,0.2,True
77,77,77,92,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.292,0.0,0.5,0.5,0.0,0.0,False
78,78,78,93,18607,Jared Walsh,LAA,28,0.225,0.27,0.392,0.753,665120,108,Jose Berrios,1,Angel Stadium,4,621244,5.19,9.92,8.16,1.35,0.275,0.125,0.0,0.5,0.5,0.25,0.5,True
79,79,79,94,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Alex Cobb,1,Great American Ball Park,8,502171,4.15,8.87,9.64,1.29,0.253,0.143,0.333,0.0,0.667,0.333,0.0,True
80,80,80,95,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,Kyle Freeland,1,Nationals Park,29,607536,4.56,9.5,6.66,1.36,0.272,0.0,0.333,0.5,0.333,0.667,0.6,True
81,81,81,96,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Kyle Freeland,1,Nationals Park,29,607536,4.56,9.5,6.66,1.36,0.272,0.333,0.25,0.4,0.0,0.333,0.0,False
82,82,82,98,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.412,0.5,0.4,0.25,0.0,0.2,True
83,83,83,99,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Elieser Hernandez,1,Truist Park,12,622694,6.0,9.33,8.83,1.39,0.26,0.462,0.0,0.0,0.2,0.25,0.5,True
